UF,CONSULTOR_USADO,CNPJ_REFERENCIA,EAN,PRODUTO,DISTRIBUIDORA,ESTOQUE,DESCONTO,PF_DIST,PF_FABRICA,PRECO_COM_IMPOSTO,PRECO_SEM_IMPOSTO,DATA_ATUALIZACAO,STATUS,ERRO
MA,GD,14569758000150,7894916372770,Loratadina 1 mg/ml Frasco 100 ml Xarope,Emmarka - MA,27.0,0.7644,38.7,0.0,9.12,9.12,2026-06-12 12:41:40,OK,
MA,GD,14569758000150,7894916372770,Loratadina 1 mg/ml Frasco 100 ml Xarope,Panpharma - CE,71.0,0.7625,38.7,0.0,9.19,9.19,2026-06-12 12:41:40,OK,
MA,GD,14569758000150,7894916372787,Xarope Cloridrato de Ambroxol Infantil 15mg/5ml Frasco 120 ml,Nazaria - MA - Timon,184.0,0.508,19.21,0.0,9.45,9.45,2026-06-12 12:41:43,OK,
MA,GD,14569758000150,7894916372787,Xarope Cloridrato de Ambroxol Infantil 15mg/5ml Frasco 120 ml,Nazaria - MA - Imperatriz,151.0,0.508,19.21,0.0,9.45,9.45,2026-06-12 12:41:43,OK,
MA,GD,14569758000150,7894916372787,Xarope Cloridrato de Ambroxol Infantil 15mg/5ml Frasco 120 ml,Panpharma - CE,1.0,0.47009999999999996,19.21,0.0,10.18,10.18,2026-06-12 12:41:43,OK,
MA,GD,14569758000150,7894916372787,Xarope Cloridrato de Ambroxol Infantil 15mg/5ml Frasco 120 ml,Emmarka - MA,84.0,0.4534,19.21,0.0,10.5,10.5,2026-06-12 12:41:43,OK,
MA,GD,14569758000150,7894916372855,Anastrozol 1 mg Caixa 30 Comprimidos Revestidos,Emmarka - MA,52.0,0.8837,821.45,0.0,95.53,95.53,2026-06-12 12:41:46,OK,
MA,GD,14569758000150,7894916372855,Anastrozol 1 mg Caixa 30 Comprimidos Revestidos,Nazaria - MA - Imperatriz,45.0,0.8837,821.45,0.0,95.53,95.53,2026-06-12 12:41:46,OK,
MA,GD,14569758000150,7894916372855,Anastrozol 1 mg Caixa 30 Comprimidos Revestidos,Nazaria - MA - Timon,24.0,0.8837,821.45,0.0,95.53,95.53,2026-06-12 12:41:46,OK,
MA,GD,14569758000150,7896004700038,Paracetamol 200 mg/ml Frasco 15 ml Gotas,Nazaria - MA - Timon,10054.0,0.628,9.87,0.0,3.67,3.67,2026-06-12 12:41:49,OK,
MA,GD,14569758000150,7896004700038,Paracetamol 200 mg/ml Frasco 15 ml Gotas,Nazaria - MA - Imperatriz,6953.0,0.628,9.87,0.0,3.67,3.67,2026-06-12 12:41:49,OK,
MA,GD,14569758000150,7896004700038,Paracetamol 200 mg/ml Frasco 15 ml Gotas,Emmarka - MA,2061.0,0.628,11.58,0.0,4.31,4.31,2026-06-12 12:41:49,OK,
MA,GD,14569758000150,7896004700038,Paracetamol 200 mg/ml Frasco 15 ml Gotas,Panpharma - CE,1153.0,0.5659000000000001,11.58,0.0,5.03,5.03,2026-06-12 12:41:49,OK,
MA,GD,14569758000150,7896004700250,Cetoconazol 200 mg Caixa 10 Comprimidos,Panpharma - CE,23.0,0.8220999999999999,41.32,0.0,7.35,7.35,2026-06-12 12:41:51,OK,
MA,GD,14569758000150,7896004700250,Cetoconazol 200 mg Caixa 10 Comprimidos,Total - MA,10.0,0.7879,41.32,0.0,8.77,8.76,2026-06-12 12:41:51,OK,
MA,GD,14569758000150,7896004700274,Tenoxicam 20 mg Caixa 10 Comprimidos Revestidos,Nazaria - MA - Imperatriz,131.0,0.7191,46.1,0.0,12.95,12.95,2026-06-12 12:41:54,OK,
MA,GD,14569758000150,7896004700274,Tenoxicam 20 mg Caixa 10 Comprimidos Revestidos,Nazaria - MA - Timon,80.0,0.7191,46.1,0.0,12.95,12.95,2026-06-12 12:41:54,OK,
MA,GD,14569758000150,7896004700274,Tenoxicam 20 mg Caixa 10 Comprimidos Revestidos,Panpharma - CE,109.0,0.7040000000000001,46.1,0.0,13.65,13.65,2026-06-12 12:41:54,OK,
MA,GD,14569758000150,7896004700274,Tenoxicam 20 mg Caixa 10 Comprimidos Revestidos,Emmarka - MA,220.0,0.6879000000000001,46.1,0.0,14.39,14.39,2026-06-12 12:41:54,OK,
MA,GD,14569758000150,7896004700403,Diltiazem 60 mg Caixa 50 Comprimidos,Nazaria - MA - Timon,57.0,0.3262,40.0,0.0,26.95,26.95,2026-06-12 12:41:57,OK,
MA,GD,14569758000150,7896004700403,Diltiazem 60 mg Caixa 50 Comprimidos,Nazaria - MA - Imperatriz,56.0,0.3262,40.0,0.0,26.95,26.95,2026-06-12 12:41:57,OK,
MA,GD,14569758000150,7896004700403,Diltiazem 60 mg Caixa 50 Comprimidos,Panpharma - CE,85.0,0.2725,40.0,0.0,29.1,29.1,2026-06-12 12:41:57,OK,
MA,GD,14569758000150,7896004700403,Diltiazem 60 mg Caixa 50 Comprimidos,Emmarka - MA,58.0,0.25129999999999997,40.0,0.0,29.95,29.95,2026-06-12 12:41:57,OK,
MA,GD,14569758000150,7896004700403,Diltiazem 60 mg Caixa 50 Comprimidos,Total - MA,6.0,0.25129999999999997,40.0,0.0,29.95,29.95,2026-06-12 12:41:57,OK,
MA,GD,14569758000150,7896004700410,Diltiazem 60 mg Caixa 25 Comprimidos,Nazaria - MA - Timon,41.0,0.5099,20.4,0.0,10.0,10.0,2026-06-12 12:42:00,OK,
MA,GD,14569758000150,7896004700410,Diltiazem 60 mg Caixa 25 Comprimidos,Total - MA,9.0,0.4357,20.39,0.0,11.51,11.51,2026-06-12 12:42:00,OK,
MA,GD,14569758000150,7896004700410,Diltiazem 60 mg Caixa 25 Comprimidos,Panpharma - CE,46.0,0.26890000000000003,20.4,0.0,14.91,14.91,2026-06-12 12:42:00,OK,
MA,GD,14569758000150,7896004700427,Amoxicilina 500 mg Caixa 21 Cápsulas,Emmarka - MA,1508.0,0.7728,35.82,0.0,8.14,8.14,2026-06-12 12:42:04,OK,
MA,GD,14569758000150,7896004700427,Amoxicilina 500 mg Caixa 21 Cápsulas,Nazaria - MA - Timon,528.0,0.7728,35.82,0.0,8.14,8.14,2026-06-12 12:42:04,OK,
MA,GD,14569758000150,7896004700427,Amoxicilina 500 mg Caixa 21 Cápsulas,Nazaria - MA - Imperatriz,1.0,0.7728,35.82,0.0,8.14,8.14,2026-06-12 12:42:04,OK,
MA,GD,14569758000150,7896004700427,Amoxicilina 500 mg Caixa 21 Cápsulas,Total - MA,135.0,0.7475,35.82,0.0,9.05,9.04,2026-06-12 12:42:04,OK,
MA,GD,14569758000150,7896004700427,Amoxicilina 500 mg Caixa 21 Cápsulas,Panpharma - CE,1314.0,0.7314,35.82,0.0,9.62,9.62,2026-06-12 12:42:04,OK,
MA,GD,14569758000150,7896004700441,Amoxicilina 500 mg Caixa 15 Cápsulas,Nazaria - MA - Timon,168.0,0.6861,26.39,0.0,8.28,8.28,2026-06-12 12:42:07,OK,
MA,GD,14569758000150,7896004700441,Amoxicilina 500 mg Caixa 15 Cápsulas,Nazaria - MA - Imperatriz,126.0,0.6861,26.39,0.0,8.28,8.28,2026-06-12 12:42:07,OK,
MA,GD,14569758000150,7896004700441,Amoxicilina 500 mg Caixa 15 Cápsulas,Panpharma - CE,545.0,0.6564,26.39,0.0,9.07,9.07,2026-06-12 12:42:07,OK,
MA,GD,14569758000150,7896004700441,Amoxicilina 500 mg Caixa 15 Cápsulas,Emmarka - MA,76.0,0.6513,26.39,0.0,9.2,9.2,2026-06-12 12:42:07,OK,
MA,GD,14569758000150,7896004700458,Amoxicilina 250mg/5ml Frasco 150 ml Pó Para Suspensão Oral + Copo,Emmarka - MA,8.0,0.6473,29.03,0.0,10.24,10.24,2026-06-12 12:42:09,OK,
MA,GD,14569758000150,7896004700458,Amoxicilina 250mg/5ml Frasco 150 ml Pó Para Suspensão Oral + Copo,Panpharma - CE,154.0,0.6251,29.03,0.0,10.88,10.88,2026-06-12 12:42:09,OK,
MA,GD,14569758000150,7896004700526,Enalapril 5 mg Caixa 30 Comprimidos,Panpharma - CE,2491.0,0.8718,22.23,0.0,2.85,2.85,2026-06-12 12:42:12,OK,
MA,GD,14569758000150,7896004700526,Enalapril 5 mg Caixa 30 Comprimidos,Nazaria - MA - Timon,881.0,0.8504999999999999,22.23,0.0,3.32,3.32,2026-06-12 12:42:12,OK,
MA,GD,14569758000150,7896004700526,Enalapril 5 mg Caixa 30 Comprimidos,Emmarka - MA,381.0,0.8504999999999999,22.23,0.0,3.32,3.32,2026-06-12 12:42:12,OK,
MA,GD,14569758000150,7896004700526,Enalapril 5 mg Caixa 30 Comprimidos,Nazaria - MA - Imperatriz,380.0,0.8504999999999999,22.23,0.0,3.32,3.32,2026-06-12 12:42:12,OK,
MA,GD,14569758000150,7896004700533,Enalapril 10 mg Caixa 30 Comprimidos,Panpharma - CE,10339.0,0.8937999999999999,21.26,0.0,2.26,2.26,2026-06-12 12:42:15,OK,
MA,GD,14569758000150,7896004700533,Enalapril 10 mg Caixa 30 Comprimidos,Nazaria - MA - Timon,2080.0,0.8621,21.26,0.0,2.93,2.93,2026-06-12 12:42:15,OK,
MA,GD,14569758000150,7896004700533,Enalapril 10 mg Caixa 30 Comprimidos,Nazaria - MA - Imperatriz,1190.0,0.8621,21.26,0.0,2.93,2.93,2026-06-12 12:42:15,OK,
MA,GD,14569758000150,7896004700533,Enalapril 10 mg Caixa 30 Comprimidos,Emmarka - MA,641.0,0.8621,21.26,0.0,2.93,2.93,2026-06-12 12:42:15,OK,
MA,GD,14569758000150,7896004700540,Enalapril 20 mg Caixa 30 Comprimidos,Panpharma - CE,7413.0,0.9054000000000001,32.3,0.0,3.06,3.06,2026-06-12 12:42:18,OK,
MA,GD,14569758000150,7896004700540,Enalapril 20 mg Caixa 30 Comprimidos,Nazaria - MA - Timon,868.0,0.8752,32.3,0.0,4.03,4.03,2026-06-12 12:42:18,OK,
MA,GD,14569758000150,7896004700540,Enalapril 20 mg Caixa 30 Comprimidos,Nazaria - MA - Imperatriz,432.0,0.8752,32.3,0.0,4.03,4.03,2026-06-12 12:42:18,OK,
