UF,CONSULTOR_USADO,CNPJ_REFERENCIA,EAN,PRODUTO,DISTRIBUIDORA,ESTOQUE,DESCONTO,PF_DIST,PF_FABRICA,PRECO_COM_IMPOSTO,PRECO_SEM_IMPOSTO,DATA_ATUALIZACAO,STATUS,ERRO
MT,GD,22183946000173,7894916372770,Loratadina 1 mg/ml Frasco 100 ml Xarope,Profarma - MT,74.0,0.7125,35.9,0.0,11.7,10.32,2026-06-15 11:08:07,OK,
MT,GD,22183946000173,7894916372770,Loratadina 1 mg/ml Frasco 100 ml Xarope,Norte Sul Real - MT,275.0,0.7225,35.9,0.0,12.0,9.96,2026-06-15 11:08:07,OK,
MT,GD,22183946000173,7894916372787,Xarope Cloridrato de Ambroxol Infantil 15mg/5ml Frasco 120 ml,Norte Sul Real - MT,124.0,0.4681,17.82,0.0,9.72,9.48,2026-06-15 11:08:10,OK,
MT,GD,22183946000173,7894916372787,Xarope Cloridrato de Ambroxol Infantil 15mg/5ml Frasco 120 ml,Profarma - MT,143.0,0.4201,17.82,0.0,10.13,10.33,2026-06-15 11:08:10,OK,
MT,GD,22183946000173,7894916372855,,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-15 11:08:22,ERRO,Nao consegui consultar o EAN no Mercado Farma.
MT,GD,22183946000173,7896004700038,Paracetamol 200 mg/ml Frasco 15 ml Gotas,Norte Sul Real - MT,540.0,0.5962,10.74,0.0,4.72,4.34,2026-06-15 11:08:25,OK,
MT,GD,22183946000173,7896004700038,Paracetamol 200 mg/ml Frasco 15 ml Gotas,Profarma - MT,1029.0,0.5159,10.07,0.0,5.08,4.87,2026-06-15 11:08:25,OK,
MT,GD,22183946000173,7896004700038,Paracetamol 200 mg/ml Frasco 15 ml Gotas,Panpharma / Santa Cruz - MT,167.0,0.5259,10.74,0.0,5.5,5.09,2026-06-15 11:08:25,OK,
MT,GD,22183946000173,7896004700250,Cetoconazol 200 mg Caixa 10 Comprimidos,Norte Sul Real - MT,100.0,0.7820999999999999,38.34,0.0,11.03,8.35,2026-06-15 11:08:27,OK,
MT,GD,22183946000173,7896004700274,Tenoxicam 20 mg Caixa 10 Comprimidos Revestidos,Profarma - MT,31.0,0.654,42.77,0.0,16.14,14.8,2026-06-15 11:08:30,OK,
MT,GD,22183946000173,7896004700274,Tenoxicam 20 mg Caixa 10 Comprimidos Revestidos,Norte Sul Real - MT,144.0,0.6722,42.77,0.0,16.21,14.02,2026-06-15 11:08:30,OK,
MT,GD,22183946000173,7896004700274,Tenoxicam 20 mg Caixa 10 Comprimidos Revestidos,Panpharma / Santa Cruz - MT,320.0,0.664,42.77,0.0,16.5,14.37,2026-06-15 11:08:30,OK,
MT,GD,22183946000173,7896004700403,Diltiazem 60 mg Caixa 50 Comprimidos,Norte Sul Real - MT,166.0,0.25129999999999997,37.11,0.0,27.79,27.78,2026-06-15 11:08:33,OK,
MT,GD,22183946000173,7896004700403,Diltiazem 60 mg Caixa 50 Comprimidos,Profarma - MT,53.0,0.2225,37.11,0.0,28.11,28.85,2026-06-15 11:08:33,OK,
MT,GD,22183946000173,7896004700403,Diltiazem 60 mg Caixa 50 Comprimidos,Panpharma / Santa Cruz - MT,80.0,0.2325,37.11,0.0,28.48,28.48,2026-06-15 11:08:33,OK,
MT,GD,22183946000173,7896004700410,Diltiazem 60 mg Caixa 25 Comprimidos,Norte Sul Real - MT,27.0,0.4025,18.93,0.0,11.41,11.31,2026-06-15 11:08:36,OK,
MT,GD,22183946000173,7896004700410,Diltiazem 60 mg Caixa 25 Comprimidos,Panpharma / Santa Cruz - MT,45.0,0.2289,18.93,0.0,14.6,14.6,2026-06-15 11:08:36,OK,
MT,GD,22183946000173,7896004700427,Amoxicilina 500 mg Caixa 21 Cápsulas,Norte Sul Real - MT,343.0,0.7120000000000001,33.22,0.0,11.49,9.57,2026-06-15 11:08:38,OK,
MT,GD,22183946000173,7896004700427,Amoxicilina 500 mg Caixa 21 Cápsulas,Profarma - MT,293.0,0.6814,33.23,0.0,11.79,10.59,2026-06-15 11:08:38,OK,
MT,GD,22183946000173,7896004700441,Amoxicilina 500 mg Caixa 15 Cápsulas,Profarma - MT,39.0,0.6064,24.48,0.0,10.21,9.64,2026-06-15 11:08:41,OK,
MT,GD,22183946000173,7896004700441,Amoxicilina 500 mg Caixa 15 Cápsulas,Norte Sul Real - MT,170.0,0.6164000000000001,24.48,0.0,10.4,9.39,2026-06-15 11:08:41,OK,
MT,GD,22183946000173,7896004700458,Amoxicilina 250mg/5ml Frasco 150 ml Pó Para Suspensão Oral + Copo,Profarma - MT,241.0,0.5751,26.93,0.0,11.93,11.44,2026-06-15 11:08:44,OK,
MT,GD,22183946000173,7896004700458,Amoxicilina 250mg/5ml Frasco 150 ml Pó Para Suspensão Oral + Copo,Norte Sul Real - MT,48.0,0.5851,26.93,0.0,12.15,11.17,2026-06-15 11:08:44,OK,
MT,GD,22183946000173,7896004700458,Amoxicilina 250mg/5ml Frasco 150 ml Pó Para Suspensão Oral + Copo,Panpharma / Santa Cruz - MT,2.0,0.5851,26.93,0.0,12.15,11.17,2026-06-15 11:08:44,OK,
MT,GD,22183946000173,7896004700526,Enalapril 5 mg Caixa 30 Comprimidos,Profarma - MT,207.0,0.8218000000000001,20.63,0.0,4.91,3.68,2026-06-15 11:08:46,OK,
MT,GD,22183946000173,7896004700533,Enalapril 10 mg Caixa 30 Comprimidos,Profarma - MT,1325.0,0.8438,19.72,0.0,3.62,3.08,2026-06-15 11:08:49,OK,
MT,GD,22183946000173,7896004700533,Enalapril 10 mg Caixa 30 Comprimidos,Norte Sul Real - MT,176.0,0.8547,19.72,0.0,4.49,2.87,2026-06-15 11:08:49,OK,
MT,GD,22183946000173,7896004700540,Enalapril 20 mg Caixa 30 Comprimidos,Profarma - MT,112.0,0.8554999999999999,29.96,0.0,6.3,4.33,2026-06-15 11:08:52,OK,
MT,GD,22183946000173,7896004700540,Enalapril 20 mg Caixa 30 Comprimidos,Norte Sul Real - MT,2689.0,0.8654999999999999,29.96,0.0,6.54,4.03,2026-06-15 11:08:52,OK,
MT,GD,22183946000173,7896004700540,Enalapril 20 mg Caixa 30 Comprimidos,Panpharma / Santa Cruz - MT,1750.0,0.8654999999999999,29.96,0.0,6.54,4.03,2026-06-15 11:08:52,OK,
MT,GD,22183946000173,7896004700564,,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-15 11:09:04,ERRO,Nao consegui consultar o EAN no Mercado Farma.
MT,GD,22183946000173,7896004700571,Carbocisteína 50 mg/ml Frasco 100 ml Xarope Adulto,Profarma - MT,53.0,0.5147999999999999,30.56,0.0,14.98,14.83,2026-06-15 11:09:07,OK,
MT,GD,22183946000173,7896004700571,Carbocisteína 50 mg/ml Frasco 100 ml Xarope Adulto,Norte Sul Real - MT,92.0,0.5291,30.56,0.0,15.12,14.39,2026-06-15 11:09:07,OK,
MT,GD,22183946000173,7896004700571,Carbocisteína 50 mg/ml Frasco 100 ml Xarope Adulto,Panpharma / Santa Cruz - MT,48.0,0.5247999999999999,30.56,0.0,15.23,14.52,2026-06-15 11:09:07,OK,
MT,GD,22183946000173,7896004700656,Betametasona + Ácido Salicílico 0.5+30 mg/g Bisnaga 30 g Pomada,Profarma - MT,37.0,0.7153,21.49,0.0,6.95,6.12,2026-06-15 11:09:10,OK,
MT,GD,22183946000173,7896004700656,Betametasona + Ácido Salicílico 0.5+30 mg/g Bisnaga 30 g Pomada,Panpharma / Santa Cruz - MT,160.0,0.7253000000000001,21.49,0.0,7.13,5.9,2026-06-15 11:09:10,OK,
MT,GD,22183946000173,7896004700656,Betametasona + Ácido Salicílico 0.5+30 mg/g Bisnaga 30 g Pomada,Norte Sul Real - MT,150.0,0.7253000000000001,21.49,0.0,7.13,5.9,2026-06-15 11:09:10,OK,
MT,GD,22183946000173,7896004700953,Pentoxifilina 400 mg Caixa 20 Comprimidos Revestidos,Profarma - MT,87.0,0.1305,49.24,0.0,41.83,42.81,2026-06-15 11:09:12,OK,
MT,GD,22183946000173,7896004700953,Pentoxifilina 400 mg Caixa 20 Comprimidos Revestidos,Panpharma / Santa Cruz - MT,6.0,0.1405,49.24,0.0,42.32,42.32,2026-06-15 11:09:12,OK,
MT,GD,22183946000173,7896004700984,Cetoconazol 20 mg/g Frasco 100 ml Shampoo Anticaspa,Profarma - MT,14.0,0.5941,55.61,0.0,24.43,22.57,2026-06-15 11:09:15,OK,
MT,GD,22183946000173,7896004700991,Claritromicina 500 mg Caixa 14 Comprimidos Revestidos,Norte Sul Real - MT,105.0,0.5869,207.55,0.0,93.34,85.74,2026-06-15 11:09:18,OK,
MT,GD,22183946000173,7896004700991,Claritromicina 500 mg Caixa 14 Comprimidos Revestidos,Profarma - MT,9.0,0.5616,207.55,0.0,94.25,90.99,2026-06-15 11:09:18,OK,
MT,GD,22183946000173,7896004700991,Claritromicina 500 mg Caixa 14 Comprimidos Revestidos,Panpharma / Santa Cruz - MT,114.0,0.5716,207.55,0.0,95.97,88.91,2026-06-15 11:09:18,OK,
MT,GD,22183946000173,7896004701035,,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-15 11:09:30,ERRO,Nao consegui consultar o EAN no Mercado Farma.
MT,GD,22183946000173,7896004701172,Claritromicina 500 mg Caixa 10 Comprimidos Revestidos,Profarma - MT,38.0,0.6234000000000001,141.61,0.0,57.04,53.33,2026-06-15 11:09:33,OK,
MT,GD,22183946000173,7896004701172,Claritromicina 500 mg Caixa 10 Comprimidos Revestidos,Panpharma / Santa Cruz - MT,78.0,0.6334000000000001,141.61,0.0,58.22,51.91,2026-06-15 11:09:33,OK,
MT,GD,22183946000173,7896004701172,Claritromicina 500 mg Caixa 10 Comprimidos Revestidos,Norte Sul Real - MT,102.0,0.6223,141.61,0.0,59.51,53.49,2026-06-15 11:09:33,OK,
MT,GD,22183946000173,7896004701233,Bromoprida 4 mg/ml Frasco 20 ml Gotas,Norte Sul Real - MT,1461.0,0.705,18.46,0.0,6.44,5.45,2026-06-15 11:09:36,OK,
MT,GD,22183946000173,7896004701233,Bromoprida 4 mg/ml Frasco 20 ml Gotas,Profarma - MT,499.0,0.6740999999999999,18.46,0.0,6.61,6.02,2026-06-15 11:09:36,OK,
MT,GD,22183946000173,7896004701233,Bromoprida 4 mg/ml Frasco 20 ml Gotas,Panpharma / Santa Cruz - MT,313.0,0.6840999999999999,18.46,0.0,6.76,5.83,2026-06-15 11:09:36,OK,
MT,GD,22183946000173,7896004701288,Hidróxido De Alumínio 61.5 mg/ml Frasco 240 ml Suspensão Oral,Profarma - MT,505.0,0.20129999999999998,15.68,0.0,13.01,12.52,2026-06-15 11:09:39,OK,
MT,GD,22183946000173,7896004701288,Hidróxido De Alumínio 61.5 mg/ml Frasco 240 ml Suspensão Oral,Norte Sul Real - MT,1310.0,0.20129999999999998,20.61,0.0,17.1,16.46,2026-06-15 11:09:39,OK,
MT,GD,22183946000173,7896004701288,Hidróxido De Alumínio 61.5 mg/ml Frasco 240 ml Suspensão Oral,Panpharma / Santa Cruz - MT,492.0,0.20129999999999998,20.61,0.0,17.1,16.46,2026-06-15 11:09:39,OK,
MT,GD,22183946000173,7896004701301,,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-15 11:09:51,ERRO,Nao consegui consultar o EAN no Mercado Farma.
MT,GD,22183946000173,7896004701462,Lorazepam 2 mg Caixa 20 Comprimidos,Norte Sul Real - MT,311.0,0.8101999999999999,16.95,0.0,4.48,3.22,2026-06-15 11:09:54,OK,
MT,GD,22183946000173,7896004701462,Lorazepam 2 mg Caixa 20 Comprimidos,Profarma - MT,54.0,0.7609999999999999,16.95,0.0,4.89,4.05,2026-06-15 11:09:54,OK,
MT,GD,22183946000173,7896004701462,Lorazepam 2 mg Caixa 20 Comprimidos,Panpharma / Santa Cruz - MT,116.0,0.7709999999999999,16.95,0.0,5.03,3.88,2026-06-15 11:09:54,OK,
MT,GD,22183946000173,7896004701820,,,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-15 11:10:06,ERRO,Nao consegui consultar o EAN no Mercado Farma.
MT,GD,22183946000173,7896004701943,Sinvastatina 10 mg Caixa 30 Comprimidos Revestidos,Panpharma / Santa Cruz - MT,46.0,0.7772,24.14,0.0,6.17,5.38,2026-06-15 11:10:08,OK,
MT,GD,22183946000173,7896004701967,Omeprazol Magnésico 20 mg Caixa 28 Cápsulas,Profarma - MT,580.0,0.8162999999999999,26.63,0.0,6.46,4.89,2026-06-15 11:10:11,OK,
MT,GD,22183946000173,7896004701967,Omeprazol Magnésico 20 mg Caixa 28 Cápsulas,Norte Sul Real - MT,356.0,0.8262999999999999,26.63,0.0,6.68,4.63,2026-06-15 11:10:11,OK,
MT,GD,22183946000173,7896004702032,Nistatina 100000 ui/ml Frasco 50 ml Suspensão Oral,Profarma - MT,343.0,0.6681999999999999,29.8,0.0,10.89,9.89,2026-06-15 11:10:14,OK,
