UF,CONSULTOR_USADO,CNPJ_REFERENCIA,EAN,PRODUTO,DISTRIBUIDORA,ESTOQUE,DESCONTO,PF_DIST,PF_FABRICA,PRECO_COM_IMPOSTO,PRECO_SEM_IMPOSTO,DATA_ATUALIZACAO,STATUS,ERRO
PA,GD,36346498000781,7894916372770,,,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-11 15:05:13,ERRO,Message: Nenhuma distribuidora pôde ser lida no card do produto.
PA,GD,36346498000781,7894916372787,Xarope Cloridrato de Ambroxol Infantil 15mg/5ml Frasco 120 ml,Total - PA,319.0,0.4396,18.26,0.0,10.23,10.23,2026-08-11 15:05:17,OK,
PA,GD,36346498000781,7894916372787,Xarope Cloridrato de Ambroxol Infantil 15mg/5ml Frasco 120 ml,Nazaria - PA,142.0,0.3897,18.26,0.0,11.14,11.14,2026-08-11 15:05:17,OK,
PA,GD,36346498000781,7894916372855,,,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-11 15:05:30,ERRO,Message: Nenhuma distribuidora pôde ser lida no card do produto.
PA,GD,36346498000781,7896004700038,Paracetamol 200 mg/ml Frasco 15 ml Gotas,Total - PA,427.0,0.5637,11.0,0.0,4.8,4.8,2026-08-11 15:05:34,OK,
PA,GD,36346498000781,7896004700038,Paracetamol 200 mg/ml Frasco 15 ml Gotas,Panpharma - PA,80.0,0.5459,11.0,0.0,5.0,5.0,2026-08-11 15:05:34,OK,
PA,GD,36346498000781,7896004700038,Paracetamol 200 mg/ml Frasco 15 ml Gotas,Nazaria - PA,13771.0,0.5085000000000001,11.0,0.0,5.41,5.41,2026-08-11 15:05:34,OK,
PA,GD,36346498000781,7896004700250,Cetoconazol 200 mg Caixa 10 Comprimidos,Panpharma - PA,3.0,0.8020999999999999,39.28,0.0,7.77,7.77,2026-08-11 15:05:38,OK,
PA,GD,36346498000781,7896004700250,Cetoconazol 200 mg Caixa 10 Comprimidos,Total - PA,112.0,0.775,39.28,0.0,8.84,8.84,2026-08-11 15:05:38,OK,
PA,GD,36346498000781,7896004700274,Tenoxicam 20 mg Caixa 10 Comprimidos Revestidos,Panpharma - PA,72.0,0.684,43.83,0.0,13.85,13.85,2026-08-11 15:05:42,OK,
PA,GD,36346498000781,7896004700274,Tenoxicam 20 mg Caixa 10 Comprimidos Revestidos,Total - PA,70.0,0.6523,43.83,0.0,15.24,15.24,2026-08-11 15:05:42,OK,
