UF,CONSULTOR_USADO,CNPJ_REFERENCIA,EAN,PRODUTO,DISTRIBUIDORA,ESTOQUE,DESCONTO,PF_DIST,PF_FABRICA,PRECO_COM_IMPOSTO,PRECO_SEM_IMPOSTO,DATA_ATUALIZACAO,STATUS,ERRO
PI,GD,45592059000154,7894916372770,,,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-14 06:48:30,ERRO,"Message: element not interactable
  (Session info: chrome=151.0.7922.108); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#elementnotinteractableexception
Stacktrace:
#0 0x55f72e53c82a <unknown>
#1 0x55f72deafd80 <unknown>
#2 0x55f72df00f31 <unknown>
#3 0x55f72defee52 <unknown>
#4 0x55f72defa627 <unknown>
#5 0x55f72df4e1a3 <unknown>
#6 0x55f72def8d32 <unknown>
#7 0x55f72def9bb1 <unknown>
#8 0x55f72e501bb0 <unknown>
#9 0x55f72e50022a <unknown>
#10 0x55f72e4eac55 <unknown>
#11 0x55f72e500eea <unknown>
#12 0x55f72e4d2b50 <unknown>
#13 0x55f72e528208 <unknown>
#14 0x55f72e5283a5 <unknown>
#15 0x55f72e53b3de <unknown>
#16 0x7f2bd849cb84 <unknown>
#17 0x7f2bd8529d6c <unknown>"
PI,GD,45592059000154,7894916372787,,,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-14 06:48:31,ERRO,"Message: element not interactable
  (Session info: chrome=151.0.7922.108); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#elementnotinteractableexception
Stacktrace:
#0 0x55f72e53c82a <unknown>
#1 0x55f72deafd80 <unknown>
#2 0x55f72df00f31 <unknown>
#3 0x55f72defee52 <unknown>
#4 0x55f72defa627 <unknown>
#5 0x55f72df4e1a3 <unknown>
#6 0x55f72def8d32 <unknown>
#7 0x55f72def9bb1 <unknown>
#8 0x55f72e501bb0 <unknown>
#9 0x55f72e50022a <unknown>
#10 0x55f72e4eac55 <unknown>
#11 0x55f72e500eea <unknown>
#12 0x55f72e4d2b50 <unknown>
#13 0x55f72e528208 <unknown>
#14 0x55f72e5283a5 <unknown>
#15 0x55f72e53b3de <unknown>
#16 0x7f2bd849cb84 <unknown>
#17 0x7f2bd8529d6c <unknown>"
PI,GD,45592059000154,7894916372855,,,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-14 06:48:32,ERRO,"Message: element not interactable
  (Session info: chrome=151.0.7922.108); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#elementnotinteractableexception
Stacktrace:
#0 0x55f72e53c82a <unknown>
#1 0x55f72deafd80 <unknown>
#2 0x55f72df00f31 <unknown>
#3 0x55f72defee52 <unknown>
#4 0x55f72defa627 <unknown>
#5 0x55f72df4e1a3 <unknown>
#6 0x55f72def8d32 <unknown>
#7 0x55f72def9bb1 <unknown>
#8 0x55f72e501bb0 <unknown>
#9 0x55f72e50022a <unknown>
#10 0x55f72e4eac55 <unknown>
#11 0x55f72e500eea <unknown>
#12 0x55f72e4d2b50 <unknown>
#13 0x55f72e528208 <unknown>
#14 0x55f72e5283a5 <unknown>
#15 0x55f72e53b3de <unknown>
#16 0x7f2bd849cb84 <unknown>
#17 0x7f2bd8529d6c <unknown>"
PI,GD,45592059000154,7896004700038,,,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-14 06:48:34,ERRO,"Message: element not interactable
  (Session info: chrome=151.0.7922.108); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#elementnotinteractableexception
Stacktrace:
#0 0x55f72e53c82a <unknown>
#1 0x55f72deafd80 <unknown>
#2 0x55f72df00f31 <unknown>
#3 0x55f72defee52 <unknown>
#4 0x55f72defa627 <unknown>
#5 0x55f72df4e1a3 <unknown>
#6 0x55f72def8d32 <unknown>
#7 0x55f72def9bb1 <unknown>
#8 0x55f72e501bb0 <unknown>
#9 0x55f72e50022a <unknown>
#10 0x55f72e4eac55 <unknown>
#11 0x55f72e500eea <unknown>
#12 0x55f72e4d2b50 <unknown>
#13 0x55f72e528208 <unknown>
#14 0x55f72e5283a5 <unknown>
#15 0x55f72e53b3de <unknown>
#16 0x7f2bd849cb84 <unknown>
#17 0x7f2bd8529d6c <unknown>"
PI,GD,45592059000154,7896004700250,,,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-14 06:48:35,ERRO,"Message: element not interactable
  (Session info: chrome=151.0.7922.108); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#elementnotinteractableexception
Stacktrace:
#0 0x55f72e53c82a <unknown>
#1 0x55f72deafd80 <unknown>
#2 0x55f72df00f31 <unknown>
#3 0x55f72defee52 <unknown>
#4 0x55f72defa627 <unknown>
#5 0x55f72df4e1a3 <unknown>
#6 0x55f72def8d32 <unknown>
#7 0x55f72def9bb1 <unknown>
#8 0x55f72e501bb0 <unknown>
#9 0x55f72e50022a <unknown>
#10 0x55f72e4eac55 <unknown>
#11 0x55f72e500eea <unknown>
#12 0x55f72e4d2b50 <unknown>
#13 0x55f72e528208 <unknown>
#14 0x55f72e5283a5 <unknown>
#15 0x55f72e53b3de <unknown>
#16 0x7f2bd849cb84 <unknown>
#17 0x7f2bd8529d6c <unknown>"
PI,GD,45592059000154,7896004700274,,,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-14 06:48:36,ERRO,"Message: element not interactable
  (Session info: chrome=151.0.7922.108); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#elementnotinteractableexception
Stacktrace:
#0 0x55f72e53c82a <unknown>
#1 0x55f72deafd80 <unknown>
#2 0x55f72df00f31 <unknown>
#3 0x55f72defee52 <unknown>
#4 0x55f72defa627 <unknown>
#5 0x55f72df4e1a3 <unknown>
#6 0x55f72def8d32 <unknown>
#7 0x55f72def9bb1 <unknown>
#8 0x55f72e501bb0 <unknown>
#9 0x55f72e50022a <unknown>
#10 0x55f72e4eac55 <unknown>
#11 0x55f72e500eea <unknown>
#12 0x55f72e4d2b50 <unknown>
#13 0x55f72e528208 <unknown>
#14 0x55f72e5283a5 <unknown>
#15 0x55f72e53b3de <unknown>
#16 0x7f2bd849cb84 <unknown>
#17 0x7f2bd8529d6c <unknown>"
PI,GD,45592059000154,7896004700403,,,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-14 06:48:37,ERRO,"Message: element not interactable
  (Session info: chrome=151.0.7922.108); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#elementnotinteractableexception
Stacktrace:
#0 0x55f72e53c82a <unknown>
#1 0x55f72deafd80 <unknown>
#2 0x55f72df00f31 <unknown>
#3 0x55f72defee52 <unknown>
#4 0x55f72defa627 <unknown>
#5 0x55f72df4e1a3 <unknown>
#6 0x55f72def8d32 <unknown>
#7 0x55f72def9bb1 <unknown>
#8 0x55f72e501bb0 <unknown>
#9 0x55f72e50022a <unknown>
#10 0x55f72e4eac55 <unknown>
#11 0x55f72e500eea <unknown>
#12 0x55f72e4d2b50 <unknown>
#13 0x55f72e528208 <unknown>
#14 0x55f72e5283a5 <unknown>
#15 0x55f72e53b3de <unknown>
#16 0x7f2bd849cb84 <unknown>
#17 0x7f2bd8529d6c <unknown>"
PI,GD,45592059000154,7896004700410,,,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-14 06:48:38,ERRO,"Message: element not interactable
  (Session info: chrome=151.0.7922.108); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#elementnotinteractableexception
Stacktrace:
#0 0x55f72e53c82a <unknown>
#1 0x55f72deafd80 <unknown>
#2 0x55f72df00f31 <unknown>
#3 0x55f72defee52 <unknown>
#4 0x55f72defa627 <unknown>
#5 0x55f72df4e1a3 <unknown>
#6 0x55f72def8d32 <unknown>
#7 0x55f72def9bb1 <unknown>
#8 0x55f72e501bb0 <unknown>
#9 0x55f72e50022a <unknown>
#10 0x55f72e4eac55 <unknown>
#11 0x55f72e500eea <unknown>
#12 0x55f72e4d2b50 <unknown>
#13 0x55f72e528208 <unknown>
#14 0x55f72e5283a5 <unknown>
#15 0x55f72e53b3de <unknown>
#16 0x7f2bd849cb84 <unknown>
#17 0x7f2bd8529d6c <unknown>"
PI,GD,45592059000154,7896004700427,,,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-14 06:48:39,ERRO,"Message: element not interactable
  (Session info: chrome=151.0.7922.108); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#elementnotinteractableexception
Stacktrace:
#0 0x55f72e53c82a <unknown>
#1 0x55f72deafd80 <unknown>
#2 0x55f72df00f31 <unknown>
#3 0x55f72defee52 <unknown>
#4 0x55f72defa627 <unknown>
#5 0x55f72df4e1a3 <unknown>
#6 0x55f72def8d32 <unknown>
#7 0x55f72def9bb1 <unknown>
#8 0x55f72e501bb0 <unknown>
#9 0x55f72e50022a <unknown>
#10 0x55f72e4eac55 <unknown>
#11 0x55f72e500eea <unknown>
#12 0x55f72e4d2b50 <unknown>
#13 0x55f72e528208 <unknown>
#14 0x55f72e5283a5 <unknown>
#15 0x55f72e53b3de <unknown>
#16 0x7f2bd849cb84 <unknown>
#17 0x7f2bd8529d6c <unknown>"
PI,GD,45592059000154,7896004700441,,,0.0,0.0,0.0,0.0,0.0,0.0,2026-08-14 06:48:40,ERRO,"Message: element not interactable
  (Session info: chrome=151.0.7922.108); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#elementnotinteractableexception
Stacktrace:
#0 0x55f72e53c82a <unknown>
#1 0x55f72deafd80 <unknown>
#2 0x55f72df00f31 <unknown>
#3 0x55f72defee52 <unknown>
#4 0x55f72defa627 <unknown>
#5 0x55f72df4e1a3 <unknown>
#6 0x55f72def8d32 <unknown>
#7 0x55f72def9bb1 <unknown>
#8 0x55f72e501bb0 <unknown>
#9 0x55f72e50022a <unknown>
#10 0x55f72e4eac55 <unknown>
#11 0x55f72e500eea <unknown>
#12 0x55f72e4d2b50 <unknown>
#13 0x55f72e528208 <unknown>
#14 0x55f72e5283a5 <unknown>
#15 0x55f72e53b3de <unknown>
#16 0x7f2bd849cb84 <unknown>
#17 0x7f2bd8529d6c <unknown>"
